nu,B
1.1969046748e+21,8.1214784079e-07
1.2005316587e+21,8.0549287238e-07
1.2041586426e+21,7.9887135498e-07
1.2077856264e+21,7.9228347857e-07
1.2114126103e+21,7.8572942513e-07
1.2150395941e+21,7.7920936865e-07
1.2186665780e+21,7.7272347537e-07
1.2222935619e+21,7.6627190378e-07
1.2259205457e+21,7.5985480485e-07
1.2295475296e+21,7.5347232203e-07
1.2331745135e+21,7.4712459146e-07
1.2368014973e+21,7.4081174203e-07
1.2404284812e+21,7.3453389550e-07
1.2440554651e+21,7.2829116664e-07
1.2476824489e+21,7.2208366331e-07
1.2513094328e+21,7.1591148658e-07
1.2549364166e+21,7.0977473085e-07
1.2585634005e+21,7.0367348394e-07
1.2621903844e+21,6.9760782722e-07
1.2658173682e+21,6.9157783571e-07
1.2694443521e+21,6.8558357818e-07
1.2730713360e+21,6.7962511725e-07
1.2766983198e+21,6.7370250954e-07
1.2803253037e+21,6.6781580569e-07
1.2839522875e+21,6.6196505054e-07
1.2875792714e+21,6.5615028322e-07
1.2912062553e+21,6.5037153722e-07
1.2948332391e+21,6.4462884049e-07
1.2984602230e+21,6.3892221560e-07
1.3020872069e+21,6.3325167976e-07
1.3057141907e+21,6.2761724497e-07
1.3093411746e+21,6.2201891810e-07
1.3129681584e+21,6.1645670099e-07
1.3165951423e+21,6.1093059054e-07
1.3202221262e+21,6.0544057881e-07
1.3238491100e+21,5.9998665311e-07
1.3274760939e+21,5.9456879609e-07
1.3311030778e+21,5.8918698584e-07
1.3347300616e+21,5.8384119598e-07
1.3383570455e+21,5.7853139573e-07
1.3419840294e+21,5.7325755003e-07
1.3456110132e+21,5.6801961961e-07
1.3492379971e+21,5.6281756107e-07
1.3528649809e+21,5.5765132698e-07
1.3564919648e+21,5.5252086596e-07
1.3601189487e+21,5.4742612277e-07
1.3637459325e+21,5.4236703836e-07
1.3673729164e+21,5.3734355002e-07
1.3709999003e+21,5.3235559140e-07
1.3746268841e+21,5.2740309259e-07
1.3782538680e+21,5.2248598026e-07
1.3818808518e+21,5.1760417768e-07
1.3855078357e+21,5.1275760479e-07
1.3891348196e+21,5.0794617835e-07
1.3927618034e+21,5.0316981194e-07
1.3963887873e+21,4.9842841606e-07
1.4000157712e+21,4.9372189821e-07
1.4036427550e+21,4.8905016297e-07
1.4072697389e+21,4.8441311205e-07
1.4108967228e+21,4.7981064438e-07
1.4145237066e+21,4.7524265615e-07
1.4181506905e+21,4.7070904093e-07
1.4217776743e+21,4.6620968969e-07
1.4254046582e+21,4.6174449090e-07
1.4290316421e+21,4.5731333058e-07
1.4326586259e+21,4.5291609234e-07
1.4362856098e+21,4.4855265752e-07
1.4399125937e+21,4.4422290518e-07
1.4435395775e+21,4.3992671218e-07
1.4471665614e+21,4.3566395328e-07
1.4507935452e+21,4.3143450116e-07
1.4544205291e+21,4.2723822647e-07
1.4580475130e+21,4.2307499796e-07
1.4616744968e+21,4.1894468244e-07
1.4653014807e+21,4.1484714493e-07
1.4689284646e+21,4.1078224865e-07
1.4725554484e+21,4.0674985511e-07
1.4761824323e+21,4.0274982416e-07
1.4798094162e+21,3.9878201403e-07
1.4834364000e+21,3.9484628141e-07
1.4870633839e+21,3.9094248147e-07
1.4906903677e+21,3.8707046794e-07
1.4943173516e+21,3.8323009315e-07
1.4979443355e+21,3.7942120807e-07
1.5015713193e+21,3.7564366239e-07
