r,P,m,rho
2.170000e-02,1.500541e+02,1.327184e-05,8.642874e+00
2.180000e-02,1.500526e+02,1.333227e-05,8.642849e+00
2.190000e-02,1.500511e+02,1.339353e-05,8.642824e+00
2.200000e-02,1.500496e+02,1.345564e-05,8.642798e+00
2.210000e-02,1.500480e+02,1.351859e-05,8.642772e+00
2.220000e-02,1.500465e+02,1.358240e-05,8.642746e+00
2.230000e-02,1.500449e+02,1.364707e-05,8.642719e+00
2.240000e-02,1.500433e+02,1.371261e-05,8.642693e+00
2.250000e-02,1.500417e+02,1.377904e-05,8.642666e+00
2.260000e-02,1.500401e+02,1.384635e-05,8.642639e+00
2.270000e-02,1.500385e+02,1.391455e-05,8.642612e+00
2.280000e-02,1.500368e+02,1.398366e-05,8.642584e+00
2.290000e-02,1.500352e+02,1.405368e-05,8.642556e+00
2.300000e-02,1.500335e+02,1.412462e-05,8.642528e+00
2.310000e-02,1.500318e+02,1.419648e-05,8.642500e+00
2.320000e-02,1.500301e+02,1.426928e-05,8.642472e+00
2.330000e-02,1.500284e+02,1.434302e-05,8.642443e+00
2.340000e-02,1.500267e+02,1.441771e-05,8.642414e+00
2.350000e-02,1.500249e+02,1.449336e-05,8.642385e+00
2.360000e-02,1.500232e+02,1.456998e-05,8.642355e+00
2.370000e-02,1.500214e+02,1.464757e-05,8.642325e+00
2.380000e-02,1.500196e+02,1.472615e-05,8.642295e+00
2.390000e-02,1.500178e+02,1.480571e-05,8.642265e+00
2.400000e-02,1.500160e+02,1.488628e-05,8.642235e+00
2.410000e-02,1.500141e+02,1.496786e-05,8.642204e+00
2.420000e-02,1.500123e+02,1.505045e-05,8.642173e+00
2.430000e-02,1.500104e+02,1.513407e-05,8.642142e+00
2.440000e-02,1.500085e+02,1.521872e-05,8.642110e+00
2.450000e-02,1.500066e+02,1.530441e-05,8.642079e+00
2.460000e-02,1.500047e+02,1.539116e-05,8.642047e+00
2.470000e-02,1.500028e+02,1.547896e-05,8.642014e+00
2.480000e-02,1.500009e+02,1.556783e-05,8.641982e+00
2.490000e-02,1.499989e+02,1.565778e-05,8.641949e+00
2.500000e-02,1.499969e+02,1.574881e-05,8.641916e+00
2.510000e-02,1.499949e+02,1.584093e-05,8.641883e+00
2.520000e-02,1.499929e+02,1.593416e-05,8.641849e+00
2.530000e-02,1.499909e+02,1.602850e-05,8.641815e+00
2.540000e-02,1.499889e+02,1.612396e-05,8.641781e+00
2.550000e-02,1.499868e+02,1.622054e-05,8.641747e+00
2.560000e-02,1.499848e+02,1.631827e-05,8.641712e+00
2.570000e-02,1.499827e+02,1.641713e-05,8.641677e+00
2.580000e-02,1.499806e+02,1.651716e-05,8.641642e+00
2.590000e-02,1.499785e+02,1.661835e-05,8.641607e+00
2.600000e-02,1.499763e+02,1.672071e-05,8.641571e+00
