r,P,m
4.8591598379e-02,9.4841509576e+02,9.6890320677e-07
4.8791563805e-02,9.4841422511e+02,9.8086453783e-07
4.8991529230e-02,9.4841335089e+02,9.9292390582e-07
4.9191494656e-02,9.4841247312e+02,1.0050817108e-06
4.9391460081e-02,9.4841159178e+02,1.0173383527e-06
4.9591425507e-02,9.4841070689e+02,1.0296942318e-06
4.9791390932e-02,9.4840981843e+02,1.0421497479e-06
4.9991356358e-02,9.4840892641e+02,1.0547053012e-06
5.0191321783e-02,9.4840803084e+02,1.0673612917e-06
5.0391287208e-02,9.4840713170e+02,1.0801181194e-06
5.0591252634e-02,9.4840622900e+02,1.0929761843e-06
5.0791218059e-02,9.4840532275e+02,1.1059358866e-06
5.0991183485e-02,9.4840441293e+02,1.1189976263e-06
5.1191148910e-02,9.4840349955e+02,1.1321618033e-06
5.1391114336e-02,9.4840258262e+02,1.1454288177e-06
5.1591079761e-02,9.4840166212e+02,1.1587990696e-06
5.1791045186e-02,9.4840073806e+02,1.1722729590e-06
5.1991010612e-02,9.4839981044e+02,1.1858508859e-06
5.2190976037e-02,9.4839887927e+02,1.1995332504e-06
5.2390941463e-02,9.4839794453e+02,1.2133204524e-06
5.2590906888e-02,9.4839700623e+02,1.2272128920e-06
5.2790872314e-02,9.4839606437e+02,1.2412109693e-06
5.2990837739e-02,9.4839511895e+02,1.2553150842e-06
5.3190803164e-02,9.4839416998e+02,1.2695256367e-06
5.3390768590e-02,9.4839321744e+02,1.2838430270e-06
5.3590734015e-02,9.4839226134e+02,1.2982676550e-06
5.3790699441e-02,9.4839130168e+02,1.3127999207e-06
5.3990664866e-02,9.4839033846e+02,1.3274402242e-06
5.4190630292e-02,9.4838937168e+02,1.3421889654e-06
5.4390595717e-02,9.4838840135e+02,1.3570465444e-06
5.4590561142e-02,9.4838742745e+02,1.3720133612e-06
5.4790526568e-02,9.4838644999e+02,1.3870898158e-06
5.4990491993e-02,9.4838546897e+02,1.4022763083e-06
5.5190457419e-02,9.4838448439e+02,1.4175732385e-06
5.5390422844e-02,9.4838349625e+02,1.4329810066e-06
5.5590388270e-02,9.4838250456e+02,1.4485000126e-06
