r,Phi
6.6988417519e-02,-4.7618768553e-01
6.7188382944e-02,-4.7618750479e-01
6.7388348370e-02,-4.7618732352e-01
6.7588313795e-02,-4.7618714172e-01
6.7788279221e-02,-4.7618695937e-01
6.7988244646e-02,-4.7618677649e-01
6.8188210072e-02,-4.7618659308e-01
6.8388175497e-02,-4.7618640912e-01
6.8588140922e-02,-4.7618622463e-01
6.8788106348e-02,-4.7618603960e-01
6.8988071773e-02,-4.7618585404e-01
6.9188037199e-02,-4.7618566794e-01
6.9388002624e-02,-4.7618548130e-01
6.9587968050e-02,-4.7618529413e-01
6.9787933475e-02,-4.7618510642e-01
6.9987898901e-02,-4.7618491817e-01
7.0187864326e-02,-4.7618472939e-01
7.0387829751e-02,-4.7618454007e-01
7.0587795177e-02,-4.7618435021e-01
7.0787760602e-02,-4.7618415982e-01
7.0987726028e-02,-4.7618396889e-01
7.1187691453e-02,-4.7618377742e-01
7.1387656879e-02,-4.7618358541e-01
7.1587622304e-02,-4.7618339287e-01
7.1787587729e-02,-4.7618319980e-01
7.1987553155e-02,-4.7618300618e-01
7.2187518580e-02,-4.7618281203e-01
7.2387484006e-02,-4.7618261734e-01
7.2587449431e-02,-4.7618242212e-01
7.2787414857e-02,-4.7618222636e-01
7.2987380282e-02,-4.7618203006e-01
7.3187345707e-02,-4.7618183323e-01
7.3387311133e-02,-4.7618163586e-01
7.3587276558e-02,-4.7618143795e-01
7.3787241984e-02,-4.7618123950e-01
7.3987207409e-02,-4.7618104052e-01
7.4187172835e-02,-4.7618084101e-01
7.4387138260e-02,-4.7618064095e-01
7.4587103685e-02,-4.7618044036e-01
7.4787069111e-02,-4.7618023923e-01
7.4987034536e-02,-4.7618003757e-01
7.5186999962e-02,-4.7617983537e-01
7.5386965387e-02,-4.7617963263e-01
7.5586930813e-02,-4.7617942936e-01
7.5786896238e-02,-4.7617922555e-01
7.5986861663e-02,-4.7617902120e-01
7.6186827089e-02,-4.7617881631e-01
7.6386792514e-02,-4.7617861089e-01
7.6586757940e-02,-4.7617840493e-01
7.6786723365e-02,-4.7617819844e-01
7.6986688791e-02,-4.7617799141e-01
7.7186654216e-02,-4.7617778384e-01
7.7386619641e-02,-4.7617757574e-01
7.7586585067e-02,-4.7617736710e-01
7.7786550492e-02,-4.7617715792e-01
7.7986515918e-02,-4.7617694820e-01
7.8186481343e-02,-4.7617673795e-01
7.8386446769e-02,-4.7617652717e-01
7.8586412194e-02,-4.7617631584e-01
7.8786377619e-02,-4.7617610398e-01
7.8986343045e-02,-4.7617589158e-01
7.9186308470e-02,-4.7617567865e-01
7.9386273896e-02,-4.7617546518e-01
7.9586239321e-02,-4.7617525117e-01
7.9786204747e-02,-4.7617503663e-01
7.9986170172e-02,-4.7617482155e-01
8.0186135597e-02,-4.7617460593e-01
8.0386101023e-02,-4.7617438977e-01
8.0586066448e-02,-4.7617417308e-01
8.0786031874e-02,-4.7617395586e-01
8.0985997299e-02,-4.7617373809e-01
8.1185962725e-02,-4.7617351979e-01
8.1385928150e-02,-4.7617330095e-01
8.1585893575e-02,-4.7617308158e-01
8.1785859001e-02,-4.7617286167e-01
8.1985824426e-02,-4.7617264122e-01
8.2185789852e-02,-4.7617242024e-01
8.2385755277e-02,-4.7617219872e-01
8.2585720703e-02,-4.7617197666e-01
8.2785686128e-02,-4.7617175406e-01
8.2985651553e-02,-4.7617153093e-01
8.3185616979e-02,-4.7617130727e-01
8.3385582404e-02,-4.7617108306e-01
8.3585547830e-02,-4.7617085832e-01
8.3785513255e-02,-4.7617063305e-01
8.3985478681e-02,-4.7617040723e-01
8.4185444106e-02,-4.7617018088e-01
8.4385409531e-02,-4.7616995399e-01
8.4585374957e-02,-4.7616972657e-01
8.4785340382e-02,-4.7616949861e-01
8.4985305808e-02,-4.7616927011e-01
8.5185271233e-02,-4.7616904108e-01
8.5385236659e-02,-4.7616881151e-01
8.5585202084e-02,-4.7616858140e-01
8.5785167509e-02,-4.7616835076e-01
8.5985132935e-02,-4.7616811958e-01
8.6185098360e-02,-4.7616788786e-01
8.6385063786e-02,-4.7616765561e-01
8.6585029211e-02,-4.7616742282e-01
8.6784994637e-02,-4.7616718949e-01
8.6984960062e-02,-4.7616695563e-01
8.7184925487e-02,-4.7616672123e-01
8.7384890913e-02,-4.7616648629e-01
8.7584856338e-02,-4.7616625082e-01
8.7784821764e-02,-4.7616601481e-01
8.7984787189e-02,-4.7616577826e-01
8.8184752615e-02,-4.7616554118e-01
8.8384718040e-02,-4.7616530356e-01
8.8584683465e-02,-4.7616506540e-01
8.8784648891e-02,-4.7616482671e-01
8.8984614316e-02,-4.7616458748e-01
8.9184579742e-02,-4.7616434771e-01
8.9384545167e-02,-4.7616410741e-01
8.9584510593e-02,-4.7616386657e-01
8.9784476018e-02,-4.7616362519e-01
8.9984441443e-02,-4.7616338328e-01
9.0184406869e-02,-4.7616314083e-01
9.0384372294e-02,-4.7616289785e-01
9.0584337720e-02,-4.7616265432e-01
9.0784303145e-02,-4.7616241027e-01
9.0984268571e-02,-4.7616216567e-01
9.1184233996e-02,-4.7616192054e-01
9.1384199422e-02,-4.7616167487e-01
9.1584164847e-02,-4.7616142866e-01
9.1784130272e-02,-4.7616118192e-01
9.1984095698e-02,-4.7616093464e-01
9.2184061123e-02,-4.7616068683e-01
9.2384026549e-02,-4.7616043847e-01
9.2583991974e-02,-4.7616018959e-01
9.2783957400e-02,-4.7615994016e-01
9.2983922825e-02,-4.7615969020e-01
9.3183888250e-02,-4.7615943970e-01
9.3383853676e-02,-4.7615918866e-01
9.3583819101e-02,-4.7615893709e-01
9.3783784527e-02,-4.7615868499e-01
9.3983749952e-02,-4.7615843234e-01
9.4183715378e-02,-4.7615817916e-01
9.4383680803e-02,-4.7615792544e-01
9.4583646228e-02,-4.7615767119e-01
9.4783611654e-02,-4.7615741639e-01
9.4983577079e-02,-4.7615716107e-01
9.5183542505e-02,-4.7615690520e-01
9.5383507930e-02,-4.7615664880e-01
9.5583473356e-02,-4.7615639186e-01
9.5783438781e-02,-4.7615613439e-01
9.5983404206e-02,-4.7615587638e-01
9.6183369632e-02,-4.7615561783e-01
9.6383335057e-02,-4.7615535875e-01
9.6583300483e-02,-4.7615509913e-01
9.6783265908e-02,-4.7615483897e-01
9.6983231334e-02,-4.7615457828e-01
9.7183196759e-02,-4.7615431705e-01
9.7383162184e-02,-4.7615405528e-01
9.7583127610e-02,-4.7615379298e-01
9.7783093035e-02,-4.7615353014e-01
9.7983058461e-02,-4.7615326676e-01
9.8183023886e-02,-4.7615300285e-01
9.8382989312e-02,-4.7615273840e-01
9.8582954737e-02,-4.7615247341e-01
9.8782920162e-02,-4.7615220789e-01
9.8982885588e-02,-4.7615194183e-01
9.9182851013e-02,-4.7615167523e-01
9.9382816439e-02,-4.7615140810e-01
9.9582781864e-02,-4.7615114043e-01
9.9782747290e-02,-4.7615087222e-01
