P,rho
5.000000e+00,3.225463e+00
5.010000e+00,3.227314e+00
5.020000e+00,3.229163e+00
5.030000e+00,3.231009e+00
5.040000e+00,3.232852e+00
5.050000e+00,3.234693e+00
5.060000e+00,3.236531e+00
5.070000e+00,3.238367e+00
5.080000e+00,3.240200e+00
5.090000e+00,3.242031e+00
5.100000e+00,3.243859e+00
5.110000e+00,3.245685e+00
5.120000e+00,3.247508e+00
5.130000e+00,3.249329e+00
5.140000e+00,3.251147e+00
5.150000e+00,3.252963e+00
5.160000e+00,3.254776e+00
5.170000e+00,3.256587e+00
5.180000e+00,3.258395e+00
5.190000e+00,3.260201e+00
5.200000e+00,3.262005e+00
5.210000e+00,3.263806e+00
5.220000e+00,3.265604e+00
5.230000e+00,3.267400e+00
5.240000e+00,3.269194e+00
5.250000e+00,3.270985e+00
5.260000e+00,3.272774e+00
5.270000e+00,3.274561e+00
5.280000e+00,3.276345e+00
5.290000e+00,3.278127e+00
5.300000e+00,3.279906e+00
5.310000e+00,3.281684e+00
5.320000e+00,3.283458e+00
5.330000e+00,3.285231e+00
5.340000e+00,3.287001e+00
5.350000e+00,3.288769e+00
5.360000e+00,3.290534e+00
5.370000e+00,3.292297e+00
5.380000e+00,3.294058e+00
5.390000e+00,3.295817e+00
5.400000e+00,3.297573e+00
5.410000e+00,3.299327e+00
5.420000e+00,3.301079e+00
5.430000e+00,3.302828e+00
5.440000e+00,3.304575e+00
5.450000e+00,3.306320e+00
5.460000e+00,3.308063e+00
5.470000e+00,3.309803e+00
5.480000e+00,3.311541e+00
5.490000e+00,3.313277e+00
5.500000e+00,3.315011e+00
5.510000e+00,3.316743e+00
5.520000e+00,3.318472e+00
5.530000e+00,3.320199e+00
5.540000e+00,3.321924e+00
5.550000e+00,3.323647e+00
5.560000e+00,3.325367e+00
5.570000e+00,3.327086e+00
5.580000e+00,3.328802e+00
5.590000e+00,3.330516e+00
5.600000e+00,3.332228e+00
5.610000e+00,3.333938e+00
5.620000e+00,3.335646e+00
5.630000e+00,3.337351e+00
5.640000e+00,3.339054e+00
5.650000e+00,3.340756e+00
5.660000e+00,3.342455e+00
5.670000e+00,3.344152e+00
5.680000e+00,3.345847e+00
5.690000e+00,3.347540e+00
5.700000e+00,3.349231e+00
5.710000e+00,3.350919e+00
5.720000e+00,3.352606e+00
5.730000e+00,3.354290e+00
5.740000e+00,3.355973e+00
5.750000e+00,3.357653e+00
5.760000e+00,3.359332e+00
5.770000e+00,3.361008e+00
5.780000e+00,3.362682e+00
5.790000e+00,3.364355e+00
5.800000e+00,3.366025e+00
5.810000e+00,3.367693e+00
5.820000e+00,3.369359e+00
5.830000e+00,3.371023e+00
5.840000e+00,3.372686e+00
5.850000e+00,3.374346e+00
5.860000e+00,3.376004e+00
5.870000e+00,3.377660e+00
5.880000e+00,3.379314e+00
5.890000e+00,3.380967e+00
5.900000e+00,3.382617e+00
5.910000e+00,3.384265e+00
5.920000e+00,3.385912e+00
5.930000e+00,3.387556e+00
5.940000e+00,3.389198e+00
5.950000e+00,3.390839e+00
5.960000e+00,3.392478e+00
5.970000e+00,3.394114e+00
5.980000e+00,3.395749e+00
5.990000e+00,3.397382e+00
6.000000e+00,3.399013e+00
6.010000e+00,3.400642e+00
6.020000e+00,3.402269e+00
6.030000e+00,3.403894e+00
6.040000e+00,3.405517e+00
6.050000e+00,3.407139e+00
6.060000e+00,3.408758e+00
6.070000e+00,3.410376e+00
6.080000e+00,3.411992e+00
6.090000e+00,3.413605e+00
6.100000e+00,3.415217e+00
6.110000e+00,3.416828e+00
6.120000e+00,3.418436e+00
6.130000e+00,3.420042e+00
6.140000e+00,3.421647e+00
6.150000e+00,3.423250e+00
6.160000e+00,3.424851e+00
6.170000e+00,3.426450e+00
6.180000e+00,3.428047e+00
6.190000e+00,3.429643e+00
6.200000e+00,3.431237e+00
6.210000e+00,3.432829e+00
6.220000e+00,3.434419e+00
6.230000e+00,3.436007e+00
6.240000e+00,3.437594e+00
6.250000e+00,3.439178e+00
6.260000e+00,3.440761e+00
6.270000e+00,3.442342e+00
6.280000e+00,3.443922e+00
6.290000e+00,3.445499e+00
6.300000e+00,3.447075e+00
6.310000e+00,3.448649e+00
6.320000e+00,3.450222e+00
6.330000e+00,3.451792e+00
6.340000e+00,3.453361e+00
6.350000e+00,3.454928e+00
6.360000e+00,3.456494e+00
6.370000e+00,3.458058e+00
6.380000e+00,3.459620e+00
