r,Pot
1.26922e+02,4.31017e+15
1.27122e+02,4.31003e+15
1.27323e+02,4.30990e+15
1.27524e+02,4.30976e+15
1.27724e+02,4.30963e+15
1.27925e+02,4.30950e+15
1.28125e+02,4.30936e+15
1.28326e+02,4.30923e+15
1.28527e+02,4.30910e+15
1.28727e+02,4.30897e+15
1.28928e+02,4.30884e+15
1.29129e+02,4.30871e+15
1.29329e+02,4.30858e+15
1.29530e+02,4.30845e+15
1.29730e+02,4.30832e+15
1.29931e+02,4.30819e+15
1.30132e+02,4.30806e+15
1.30332e+02,4.30793e+15
1.30533e+02,4.30780e+15
1.30733e+02,4.30768e+15
1.30934e+02,4.30755e+15
1.31135e+02,4.30742e+15
1.31335e+02,4.30730e+15
1.31536e+02,4.30717e+15
1.31737e+02,4.30704e+15
1.31937e+02,4.30692e+15
1.32138e+02,4.30679e+15
1.32338e+02,4.30667e+15
1.32539e+02,4.30655e+15
1.32740e+02,4.30642e+15
1.32940e+02,4.30630e+15
1.33141e+02,4.30618e+15
1.33341e+02,4.30605e+15
1.33542e+02,4.30593e+15
1.33743e+02,4.30581e+15
1.33943e+02,4.30569e+15
1.34144e+02,4.30557e+15
1.34345e+02,4.30545e+15
1.34545e+02,4.30533e+15
1.34746e+02,4.30521e+15
1.34946e+02,4.30509e+15
1.35147e+02,4.30497e+15
1.35348e+02,4.30485e+15
1.35548e+02,4.30473e+15
1.35749e+02,4.30462e+15
1.35949e+02,4.30450e+15
1.36150e+02,4.30438e+15
1.36351e+02,4.30426e+15
1.36551e+02,4.30415e+15
1.36752e+02,4.30403e+15
1.36952e+02,4.30392e+15
1.37153e+02,4.30380e+15
1.37354e+02,4.30368e+15
1.37554e+02,4.30357e+15
1.37755e+02,4.30346e+15
1.37956e+02,4.30334e+15
1.38156e+02,4.30323e+15
1.38357e+02,4.30311e+15
1.38557e+02,4.30300e+15
1.38758e+02,4.30289e+15
1.38959e+02,4.30278e+15
1.39159e+02,4.30266e+15
1.39360e+02,4.30255e+15
1.39560e+02,4.30244e+15
1.39761e+02,4.30233e+15
1.39962e+02,4.30222e+15
1.40162e+02,4.30211e+15
