r,Pot
1.13617e+02,5.55938e+15
1.13818e+02,5.55925e+15
1.14019e+02,5.55912e+15
1.14219e+02,5.55899e+15
1.14420e+02,5.55886e+15
1.14620e+02,5.55873e+15
1.14821e+02,5.55861e+15
1.15022e+02,5.55848e+15
1.15222e+02,5.55835e+15
1.15423e+02,5.55823e+15
1.15624e+02,5.55810e+15
1.15824e+02,5.55797e+15
1.16025e+02,5.55785e+15
1.16225e+02,5.55773e+15
1.16426e+02,5.55760e+15
1.16627e+02,5.55748e+15
1.16827e+02,5.55735e+15
1.17028e+02,5.55723e+15
1.17228e+02,5.55711e+15
1.17429e+02,5.55699e+15
1.17630e+02,5.55687e+15
1.17830e+02,5.55675e+15
1.18031e+02,5.55662e+15
1.18232e+02,5.55650e+15
1.18432e+02,5.55638e+15
1.18633e+02,5.55627e+15
1.18833e+02,5.55615e+15
1.19034e+02,5.55603e+15
1.19235e+02,5.55591e+15
1.19435e+02,5.55579e+15
1.19636e+02,5.55567e+15
1.19836e+02,5.55556e+15
1.20037e+02,5.55544e+15
1.20238e+02,5.55533e+15
1.20438e+02,5.55521e+15
1.20639e+02,5.55509e+15
1.20840e+02,5.55498e+15
1.21040e+02,5.55486e+15
1.21241e+02,5.55475e+15
1.21441e+02,5.55464e+15
1.21642e+02,5.55452e+15
1.21843e+02,5.55441e+15
1.22043e+02,5.55430e+15
1.22244e+02,5.55419e+15
1.22444e+02,5.55407e+15
1.22645e+02,5.55396e+15
1.22846e+02,5.55385e+15
1.23046e+02,5.55374e+15
1.23247e+02,5.55363e+15
1.23448e+02,5.55352e+15
1.23648e+02,5.55341e+15
1.23849e+02,5.55330e+15
1.24049e+02,5.55319e+15
1.24250e+02,5.55308e+15
1.24451e+02,5.55298e+15
1.24651e+02,5.55287e+15
1.24852e+02,5.55276e+15
1.25052e+02,5.55265e+15
1.25253e+02,5.55255e+15
1.25454e+02,5.55244e+15
1.25654e+02,5.55233e+15
1.25855e+02,5.55223e+15
1.26056e+02,5.55212e+15
1.26256e+02,5.55202e+15
1.26457e+02,5.55191e+15
1.26657e+02,5.55181e+15
1.26858e+02,5.55170e+15
1.27059e+02,5.55160e+15
1.27259e+02,5.55150e+15
1.27460e+02,5.55139e+15
1.27660e+02,5.55129e+15
1.27861e+02,5.55119e+15
1.28062e+02,5.55109e+15
1.28262e+02,5.55098e+15
1.28463e+02,5.55088e+15
1.28664e+02,5.55078e+15
1.28864e+02,5.55068e+15
1.29065e+02,5.55058e+15
1.29265e+02,5.55048e+15
1.29466e+02,5.55038e+15
1.29667e+02,5.55028e+15
1.29867e+02,5.55018e+15
1.30068e+02,5.55008e+15
1.30268e+02,5.54998e+15
1.30469e+02,5.54989e+15
1.30670e+02,5.54979e+15
1.30870e+02,5.54969e+15
1.31071e+02,5.54959e+15
1.31271e+02,5.54950e+15
1.31472e+02,5.54940e+15
1.31673e+02,5.54930e+15
1.31873e+02,5.54921e+15
1.32074e+02,5.54911e+15
1.32275e+02,5.54901e+15
1.32475e+02,5.54892e+15
1.32676e+02,5.54882e+15
1.32876e+02,5.54873e+15
1.33077e+02,5.54864e+15
1.33278e+02,5.54854e+15
1.33478e+02,5.54845e+15
1.33679e+02,5.54835e+15
1.33879e+02,5.54826e+15
1.34080e+02,5.54817e+15
1.34281e+02,5.54807e+15
1.34481e+02,5.54798e+15
1.34682e+02,5.54789e+15
1.34883e+02,5.54780e+15
1.35083e+02,5.54771e+15
1.35284e+02,5.54762e+15
1.35484e+02,5.54752e+15
1.35685e+02,5.54743e+15
1.35886e+02,5.54734e+15
1.36086e+02,5.54725e+15
1.36287e+02,5.54716e+15
1.36487e+02,5.54707e+15
