P,Teff
3.1408480e-01,9.9767700e-03
3.2140080e-01,9.9764481e-03
3.2888720e-01,9.9761217e-03
3.3654800e-01,9.9757915e-03
3.4438720e-01,9.9754560e-03
3.5240900e-01,9.9751166e-03
3.6061770e-01,9.9747725e-03
3.6901750e-01,9.9744236e-03
3.7761300e-01,9.9740699e-03
3.8640880e-01,9.9737114e-03
3.9540940e-01,9.9733478e-03
4.0461970e-01,9.9729801e-03
4.1404450e-01,9.9726065e-03
4.2368880e-01,9.9722285e-03
4.3355780e-01,9.9718446e-03
4.4365660e-01,9.9714561e-03
4.5399070e-01,9.9710624e-03
4.6456550e-01,9.9706632e-03
4.7538670e-01,9.9702578e-03
4.8645980e-01,9.9698484e-03
4.9779090e-01,9.9694326e-03
5.0938600e-01,9.9690111e-03
5.2125110e-01,9.9685839e-03
5.3339260e-01,9.9681508e-03
5.4581690e-01,9.9677127e-03
5.5853060e-01,9.9672678e-03
5.7154050e-01,9.9668176e-03
5.8485340e-01,9.9663614e-03
5.9847630e-01,9.9658980e-03
6.1241660e-01,9.9654293e-03
6.2668170e-01,9.9649542e-03
6.4127900e-01,9.9644727e-03
6.5621630e-01,9.9639846e-03
6.7150150e-01,9.9634900e-03
6.8714280e-01,9.9629887e-03
7.0314840e-01,9.9624806e-03
7.1952680e-01,9.9619656e-03
7.3628680e-01,9.9614438e-03
7.5343710e-01,9.9609158e-03
7.7098690e-01,9.9603798e-03
7.8894550e-01,9.9598366e-03
8.0732240e-01,9.9592872e-03
8.2612730e-01,9.9587293e-03
8.4537030e-01,9.9581650e-03
8.6506150e-01,9.9575922e-03
8.8521140e-01,9.9570127e-03
9.0583060e-01,9.9564245e-03
9.2693010e-01,9.9558295e-03
9.4852110e-01,9.9552254e-03
9.7061500e-01,9.9546145e-03
9.9322350e-01,9.9539954e-03
1.0163590e+00,9.9533670e-03
1.0400330e+00,9.9527315e-03
1.0642580e+00,9.9520876e-03
1.0890480e+00,9.9514339e-03
1.1144150e+00,9.9507729e-03
1.1403730e+00,9.9501031e-03
1.1669360e+00,9.9494233e-03
1.1941170e+00,9.9487358e-03
1.2219320e+00,9.9480380e-03
1.2503940e+00,9.9473324e-03
1.2795200e+00,9.9466176e-03
1.3093240e+00,9.9458921e-03
1.3398220e+00,9.9451585e-03
1.3710300e+00,9.9444140e-03
1.4029650e+00,9.9436611e-03
1.4356450e+00,9.9428971e-03
1.4690850e+00,9.9421233e-03
1.5033050e+00,9.9413408e-03
1.5383210e+00,9.9405468e-03
1.5741530e+00,9.9397425e-03
1.6108200e+00,9.9389279e-03
1.6483410e+00,9.9381028e-03
1.6867360e+00,9.9372687e-03
1.7260250e+00,9.9364208e-03
1.7662290e+00,9.9355636e-03
1.8073700e+00,9.9346955e-03
1.8494690e+00,9.9338163e-03
1.8925480e+00,9.9329260e-03
1.9366310e+00,9.9320227e-03
1.9817410e+00,9.9311096e-03
2.0279020e+00,9.9301833e-03
2.0751380e+00,9.9292454e-03
2.1234740e+00,9.9282956e-03
2.1729360e+00,9.9273339e-03
2.2235500e+00,9.9263601e-03
2.2753440e+00,9.9253742e-03
2.3283430e+00,9.9243759e-03
2.3825770e+00,9.9233635e-03
2.4380750e+00,9.9223402e-03
2.4948650e+00,9.9213024e-03
2.5529780e+00,9.9202518e-03
2.6124440e+00,9.9191882e-03
2.6732960e+00,9.9181114e-03
2.7355650e+00,9.9170196e-03
2.7992840e+00,9.9159162e-03
2.8644880e+00,9.9147974e-03
2.9312100e+00,9.9136650e-03
2.9994870e+00,9.9125187e-03
3.0693540e+00,9.9113586e-03
3.1408480e+00,9.9101823e-03
3.2140080e+00,9.9089939e-03
3.2888720e+00,9.9077890e-03
3.3654800e+00,9.9065697e-03
3.4438720e+00,9.9053336e-03
3.5240900e+00,9.9040849e-03
3.6061770e+00,9.9028192e-03
3.6901750e+00,9.9015383e-03
3.7761300e+00,9.9002423e-03
3.8640880e+00,9.8989287e-03
3.9540940e+00,9.8975997e-03
4.0461970e+00,9.8962549e-03
4.1404450e+00,9.8948944e-03
4.2368880e+00,9.8935181e-03
4.3355780e+00,9.8921234e-03
4.4365660e+00,9.8907099e-03
4.5399070e+00,9.8892826e-03
4.6456550e+00,9.8878363e-03
4.7538670e+00,9.8863735e-03
4.8645980e+00,9.8848938e-03
4.9779090e+00,9.8833947e-03
5.0938600e+00,9.8818786e-03
5.2125110e+00,9.8803426e-03
5.3339260e+00,9.8787919e-03
5.4581690e+00,9.8772211e-03
5.5853060e+00,9.8756299e-03
5.7154050e+00,9.8740209e-03
5.8485340e+00,9.8723940e-03
5.9847630e+00,9.8707463e-03
6.1241660e+00,9.8690803e-03
6.2668170e+00,9.8673961e-03
6.4127900e+00,9.8656904e-03
6.5621630e+00,9.8639661e-03
6.7150150e+00,9.8622201e-03
6.8714280e+00,9.8604552e-03
7.0314840e+00,9.8586713e-03
7.1952680e+00,9.8568652e-03
7.3628680e+00,9.8550366e-03
7.5343710e+00,9.8531885e-03
7.7098690e+00,9.8513209e-03
7.8894550e+00,9.8494304e-03
8.0732240e+00,9.8475201e-03
8.2612730e+00,9.8455864e-03
8.4537030e+00,9.8436327e-03
8.6506150e+00,9.8416554e-03
8.8521140e+00,9.8396543e-03
9.0583060e+00,9.8376327e-03
9.2693010e+00,9.8355906e-03
9.4852110e+00,9.8335242e-03
9.7061500e+00,9.8314334e-03
9.9322350e+00,9.8293216e-03
1.0163590e+01,9.8271851e-03
1.0400330e+01,9.8250274e-03
1.0642580e+01,9.8228447e-03
1.0890480e+01,9.8206406e-03
1.1144150e+01,9.8184112e-03
1.1403730e+01,9.8161562e-03
1.1669360e+01,9.8138756e-03
1.1941170e+01,9.8115732e-03
1.2219320e+01,9.8092489e-03
1.2503940e+01,9.8068986e-03
1.2795200e+01,9.8045221e-03
1.3093240e+01,9.8021192e-03
1.3398220e+01,9.7996941e-03
1.3710300e+01,9.7972380e-03
1.4029650e+01,9.7947639e-03
1.4356450e+01,9.7922586e-03
1.4690850e+01,9.7897306e-03
1.5033050e+01,9.7871755e-03
1.5383210e+01,9.7845979e-03
1.5741530e+01,9.7819882e-03
1.6108200e+01,9.7793558e-03
1.6483410e+01,9.7766958e-03
1.6867360e+01,9.7740081e-03
1.7260250e+01,9.7712975e-03
1.7662290e+01,9.7685592e-03
1.8073700e+01,9.7657929e-03
1.8494690e+01,9.7629986e-03
1.8925480e+01,9.7601758e-03
1.9366310e+01,9.7573251e-03
1.9817410e+01,9.7544513e-03
2.0279020e+01,9.7515492e-03
2.0751380e+01,9.7486133e-03
2.1234740e+01,9.7456598e-03
2.1729360e+01,9.7426722e-03
2.2235500e+01,9.7396558e-03
2.2753440e+01,9.7366109e-03
2.3283430e+01,9.7335431e-03
2.3825770e+01,9.7304408e-03
2.4380750e+01,9.7273155e-03
2.4948650e+01,9.7241555e-03
2.5529780e+01,9.7209726e-03
2.6124440e+01,9.7177610e-03
2.6732960e+01,9.7145205e-03
2.7355650e+01,9.7112508e-03
2.7992840e+01,9.7079464e-03
2.8644880e+01,9.7046193e-03
2.9312100e+01,9.7012634e-03
2.9994870e+01,9.6978788e-03
3.0693540e+01,9.6944653e-03
3.1408480e+01,9.6910231e-03
3.2140080e+01,9.6875522e-03
3.2888720e+01,9.6840526e-03
3.3654800e+01,9.6805174e-03
3.4438720e+01,9.6769605e-03
3.5240900e+01,9.6733753e-03
3.6061770e+01,9.6697540e-03
3.6901750e+01,9.6661118e-03
3.7761300e+01,9.6624341e-03
3.8640880e+01,9.6587356e-03
3.9540940e+01,9.6550015e-03
4.0461970e+01,9.6512393e-03
4.1404450e+01,9.6474492e-03
4.2368880e+01,9.6436313e-03
4.3355780e+01,9.6397858e-03
4.4365660e+01,9.6359128e-03
4.5399070e+01,9.6320124e-03
4.6456550e+01,9.6280767e-03
4.7538670e+01,9.6241138e-03
4.8645980e+01,9.6201323e-03
4.9779090e+01,9.6161158e-03
5.0938600e+01,9.6120727e-03
5.2125110e+01,9.6079944e-03
5.3339260e+01,9.6038987e-03
5.4581690e+01,9.5997681e-03
5.5853060e+01,9.5956117e-03
5.7154050e+01,9.5914297e-03
5.8485340e+01,9.5872223e-03
5.9847630e+01,9.5829898e-03
6.1241660e+01,9.5787329e-03
6.2668170e+01,9.5744414e-03
6.4127900e+01,9.5701259e-03
6.5621630e+01,9.5657858e-03
6.7150150e+01,9.5614223e-03
6.8714280e+01,9.5570251e-03
7.0314840e+01,9.5526047e-03
7.1952680e+01,9.5481612e-03
7.3628680e+01,9.5436946e-03
7.5343710e+01,9.5392066e-03
7.7098690e+01,9.5346857e-03
7.8894550e+01,9.5301537e-03
8.0732240e+01,9.5255891e-03
8.2612730e+01,9.5209929e-03
8.4537030e+01,9.5163867e-03
8.6506150e+01,9.5117487e-03
8.8521140e+01,9.5071028e-03
9.0583060e+01,9.5024135e-03
9.2693010e+01,9.4977171e-03
9.4852110e+01,9.4930018e-03
9.7061500e+01,9.4882568e-03
9.9322350e+01,9.4834929e-03
1.0163590e+02,9.4787112e-03
1.0400330e+02,9.4739124e-03
1.0642580e+02,9.4690839e-03
