nu,B
1.5269602064e+21,5.9474835318e-09
1.5305871902e+21,5.8063450894e-09
1.5342141741e+21,5.6684604917e-09
1.5378411580e+21,5.5337574988e-09
1.5414681418e+21,5.4021653936e-09
1.5450951257e+21,5.2736149519e-09
1.5487221096e+21,5.1480384137e-09
1.5523490934e+21,5.0253694540e-09
1.5559760773e+21,4.9055431550e-09
1.5596030611e+21,4.7884959780e-09
1.5632300450e+21,4.6741657364e-09
1.5668570289e+21,4.5624915688e-09
1.5704840127e+21,4.4534139130e-09
1.5741109966e+21,4.3468744795e-09
1.5777379805e+21,4.2428162272e-09
1.5813649643e+21,4.1411833372e-09
1.5849919482e+21,4.0419211895e-09
1.5886189320e+21,3.9449763382e-09
1.5922459159e+21,3.8502964881e-09
1.5958728998e+21,3.7578304716e-09
1.5994998836e+21,3.6675282259e-09
1.6031268675e+21,3.5793407706e-09
1.6067538514e+21,3.4932201858e-09
1.6103808352e+21,3.4091195905e-09
1.6140078191e+21,3.3269931215e-09
1.6176348030e+21,3.2467959129e-09
1.6212617868e+21,3.1684840749e-09
1.6248887707e+21,3.0920146751e-09
1.6285157545e+21,3.0173457174e-09
1.6321427384e+21,2.9444361241e-09
1.6357697223e+21,2.8732457161e-09
1.6393967061e+21,2.8037351946e-09
1.6430236900e+21,2.7358661231e-09
1.6466506739e+21,2.6696009093e-09
1.6502776577e+21,2.6049027877e-09
1.6539046416e+21,2.5417358026e-09
1.6575316254e+21,2.4800647907e-09
1.6611586093e+21,2.4198553651e-09
1.6647855932e+21,2.3610738991e-09
1.6684125770e+21,2.3036875096e-09
1.6720395609e+21,2.2476640426e-09
1.6756665448e+21,2.1929720569e-09
1.6792935286e+21,2.1395808096e-09
1.6829205125e+21,2.0874602413e-09
1.6865474964e+21,2.0365809618e-09
1.6901744802e+21,1.9869142357e-09
1.6938014641e+21,1.9384319686e-09
1.6974284479e+21,1.8911066938e-09
1.7010554318e+21,1.8449115585e-09
1.7046824157e+21,1.7998203112e-09
1.7083093995e+21,1.7558072886e-09
1.7119363834e+21,1.7128474030e-09
1.7155633673e+21,1.6709161304e-09
1.7191903511e+21,1.6299894979e-09
1.7228173350e+21,1.5900440723e-09
1.7264443188e+21,1.5510569484e-09
1.7300713027e+21,1.5130057374e-09
1.7336982866e+21,1.4758685563e-09
1.7373252704e+21,1.4396240165e-09
1.7409522543e+21,1.4042512134e-09
1.7445792382e+21,1.3697297158e-09
1.7482062220e+21,1.3360395558e-09
1.7518332059e+21,1.3031612186e-09
1.7554601898e+21,1.2710756326e-09
1.7590871736e+21,1.2397641602e-09
1.7627141575e+21,1.2092085879e-09
1.7663411413e+21,1.1793911170e-09
1.7699681252e+21,1.1502943550e-09
1.7735951091e+21,1.1219013065e-09
1.7772220929e+21,1.0941953642e-09
1.7808490768e+21,1.0671603009e-09
1.7844760607e+21,1.0407802608e-09
1.7881030445e+21,1.0150397516e-09
1.7917300284e+21,9.8992363630e-10
1.7953570122e+21,9.6541712542e-10
1.7989839961e+21,9.4150576938e-10
1.8026109800e+21,9.1817545101e-10
1.8062379638e+21,8.9541237812e-10
1.8098649477e+21,8.7320307638e-10
1.8134919316e+21,8.5153438224e-10
1.8171189154e+21,8.3039343606e-10
1.8207458993e+21,8.0976767531e-10
1.8243728831e+21,7.8964482801e-10
1.8279998670e+21,7.7001290625e-10
1.8316268509e+21,7.5086019983e-10
1.8352538347e+21,7.3217527010e-10
1.8388808186e+21,7.1394694385e-10
1.8425078025e+21,6.9616430742e-10
1.8461347863e+21,6.7881670085e-10
1.8497617702e+21,6.6189371221e-10
1.8533887541e+21,6.4538517200e-10
1.8570157379e+21,6.2928114776e-10
1.8606427218e+21,6.1357193870e-10
1.8642697056e+21,5.9824807047e-10
1.8678966895e+21,5.8330029011e-10
1.8715236734e+21,5.6871956097e-10
1.8751506572e+21,5.5449705791e-10
1.8787776411e+21,5.4062416246e-10
1.8824046250e+21,5.2709245816e-10
1.8860316088e+21,5.1389372599e-10
1.8896585927e+21,5.0101993986e-10
1.8932855765e+21,4.8846326226e-10
1.8969125604e+21,4.7621603997e-10
1.9005395443e+21,4.6427079985e-10
1.9041665281e+21,4.5262024474e-10
1.9077935120e+21,4.4125724946e-10
1.9114204959e+21,4.3017485689e-10
1.9150474797e+21,4.1936627409e-10
1.9186744636e+21,4.0882486861e-10
1.9223014475e+21,3.9854416475e-10
1.9259284313e+21,3.8851784001e-10
1.9295554152e+21,3.7873972157e-10
1.9331823990e+21,3.6920378284e-10
1.9368093829e+21,3.5990414012e-10
1.9404363668e+21,3.5083504928e-10
1.9440633506e+21,3.4199090259e-10
1.9476903345e+21,3.3336622555e-10
1.9513173184e+21,3.2495567383e-10
1.9549443022e+21,3.1675403024e-10
1.9585712861e+21,3.0875620183e-10
1.9621982699e+21,3.0095721699e-10
1.9658252538e+21,2.9335222265e-10
1.9694522377e+21,2.8593648153e-10
1.9730792215e+21,2.7870536946e-10
1.9767062054e+21,2.7165437275e-10
1.9803331893e+21,2.6477908564e-10
1.9839601731e+21,2.5807520777e-10
1.9875871570e+21,2.5153854172e-10
1.9912141409e+21,2.4516499065e-10
1.9948411247e+21,2.3895055592e-10
1.9984681086e+21,2.3289133482e-10
2.0020950924e+21,2.2698351832e-10
2.0057220763e+21,2.2122338889e-10
2.0093490602e+21,2.1560731834e-10
2.0129760440e+21,2.1013176576e-10
2.0166030279e+21,2.0479327546e-10
2.0202300118e+21,1.9958847495e-10
2.0238569956e+21,1.9451407303e-10
2.0274839795e+21,1.8956685786e-10
2.0311109633e+21,1.8474369509e-10
2.0347379472e+21,1.8004152604e-10
2.0383649311e+21,1.7545736594e-10
2.0419919149e+21,1.7098830214e-10
2.0456188988e+21,1.6663149249e-10
2.0492458827e+21,1.6238416358e-10
2.0528728665e+21,1.5824360919e-10
2.0564998504e+21,1.5420718868e-10
2.0601268343e+21,1.5027232544e-10
2.0637538181e+21,1.4643650536e-10
2.0673808020e+21,1.4269727537e-10
2.0710077858e+21,1.3905224200e-10
2.0746347697e+21,1.3549906992e-10
2.0782617536e+21,1.3203548063e-10
2.0818887374e+21,1.2865925105e-10
2.0855157213e+21,1.2536821224e-10
2.0891427052e+21,1.2216024809e-10
2.0927696890e+21,1.1903329407e-10
2.0963966729e+21,1.1598533602e-10
2.1000236567e+21,1.1301440892e-10
2.1036506406e+21,1.1011859574e-10
2.1072776245e+21,1.0729602626e-10
2.1109046083e+21,1.0454487600e-10
2.1145315922e+21,1.0186336511e-10
2.1181585761e+21,9.9249757273e-11
2.1217855599e+21,9.6702358710e-11
2.1254125438e+21,9.4219517125e-11
2.1290395277e+21,9.1799620726e-11
2.1326665115e+21,8.9441097254e-11
2.1362934954e+21,8.7142413030e-11
2.1399204792e+21,8.4902072030e-11
2.1435474631e+21,8.2718614983e-11
2.1471744470e+21,8.0590618481e-11
2.1508014308e+21,7.8516694125e-11
2.1544284147e+21,7.6495487672e-11
2.1580553986e+21,7.4525678221e-11
2.1616823824e+21,7.2605977403e-11
2.1653093663e+21,7.0735128600e-11
2.1689363501e+21,6.8911906175e-11
2.1725633340e+21,6.7135114730e-11
2.1761903179e+21,6.5403588367e-11
2.1798173017e+21,6.3716189980e-11
2.1834442856e+21,6.2071810558e-11
2.1870712695e+21,6.0469368502e-11
2.1906982533e+21,5.8907808964e-11
2.1943252372e+21,5.7386103196e-11
2.1979522211e+21,5.5903247918e-11
2.2015792049e+21,5.4458264698e-11
2.2052061888e+21,5.3050199354e-11
2.2088331726e+21,5.1678121358e-11
2.2124601565e+21,5.0341123264e-11
2.2160871404e+21,4.9038320146e-11
2.2197141242e+21,4.7768849051e-11
2.2233411081e+21,4.6531868460e-11
2.2269680920e+21,4.5326557772e-11
2.2305950758e+21,4.4152116787e-11
2.2342220597e+21,4.3007765211e-11
2.2378490435e+21,4.1892742173e-11
2.2414760274e+21,4.0806305745e-11
2.2451030113e+21,3.9747732483e-11
2.2487299951e+21,3.8716316972e-11
2.2523569790e+21,3.7711371390e-11
2.2559839629e+21,3.6732225069e-11
2.2596109467e+21,3.5778224084e-11
2.2632379306e+21,3.4848730834e-11
2.2668649145e+21,3.3943123648e-11
2.2704918983e+21,3.3060796392e-11
2.2741188822e+21,3.2201158087e-11
2.2777458660e+21,3.1363632535e-11
2.2813728499e+21,3.0547657961e-11
2.2849998338e+21,2.9752686653e-11
2.2886268176e+21,2.8978184618e-11
2.2922538015e+21,2.8223631247e-11
2.2958807854e+21,2.7488518980e-11
2.2995077692e+21,2.6772352987e-11
2.3031347531e+21,2.6074650855e-11
2.3067617369e+21,2.5394942283e-11
2.3103887208e+21,2.4732768777e-11
2.3140157047e+21,2.4087683365e-11
2.3176426885e+21,2.3459250310e-11
2.3212696724e+21,2.2847044831e-11
2.3248966563e+21,2.2250652833e-11
2.3285236401e+21,2.1669670642e-11
2.3321506240e+21,2.1103704750e-11
2.3357776078e+21,2.0552371559e-11
2.3394045917e+21,2.0015297137e-11
2.3430315756e+21,1.9492116980e-11
2.3466585594e+21,1.8982475775e-11
2.3502855433e+21,1.8486027174e-11
2.3539125272e+21,1.8002433573e-11
2.3575395110e+21,1.7531365890e-11
2.3611664949e+21,1.7072503358e-11
2.3647934788e+21,1.6625533314e-11
2.3684204626e+21,1.6190151002e-11
2.3720474465e+21,1.5766059371e-11
2.3756744303e+21,1.5352968890e-11
2.3793014142e+21,1.4950597351e-11
2.3829283981e+21,1.4558669697e-11
2.3865553819e+21,1.4176917836e-11
2.3901823658e+21,1.3805080471e-11
2.3938093497e+21,1.3442902928e-11
2.3974363335e+21,1.3090136993e-11
2.4010633174e+21,1.2746540748e-11
2.4046903012e+21,1.2411878419e-11
2.4083172851e+21,1.2085920213e-11
2.4119442690e+21,1.1768442179e-11
2.4155712528e+21,1.1459226053e-11
2.4191982367e+21,1.1158059120e-11
2.4228252206e+21,1.0864734076e-11
2.4264522044e+21,1.0579048889e-11
2.4300791883e+21,1.0300806668e-11
2.4337061722e+21,1.0029815536e-11
2.4373331560e+21,9.7658885025e-12
2.4409601399e+21,9.5088433393e-12
2.4445871237e+21,9.2585024641e-12
2.4482141076e+21,9.0146928215e-12
2.4518410915e+21,8.7772457702e-12
2.4554680753e+21,8.5459969715e-12
2.4590950592e+21,8.3207862813e-12
2.4627220431e+21,8.1014576445e-12
2.4663490269e+21,7.8878589917e-12
2.4699760108e+21,7.6798421394e-12
2.4736029946e+21,7.4772626915e-12
2.4772299785e+21,7.2799799440e-12
2.4808569624e+21,7.0878567921e-12
2.4844839462e+21,6.9007596390e-12
2.4881109301e+21,6.7185583076e-12
2.4917379140e+21,6.5411259539e-12
2.4953648978e+21,6.3683389831e-12
2.4989918817e+21,6.2000769673e-12
2.5026188656e+21,6.0362225652e-12
2.5062458494e+21,5.8766614446e-12
2.5098728333e+21,5.7212822056e-12
2.5134998171e+21,5.5699763069e-12
2.5171268010e+21,5.4226379928e-12
2.5207537849e+21,5.2791642235e-12
2.5243807687e+21,5.1394546052e-12
2.5280077526e+21,5.0034113240e-12
2.5316347365e+21,4.8709390797e-12
